userId,userHash,name,role,occupation,location,profileUrl,ownedRoyalty,processingCount
1,0x0Ebf09f486256CACE1B4011A71731280AD26dA12,林業家 A,素材生産者,林業家,三重,,,2
2,0x8d63258F4ee291252bd35e450c91E25B62c0475f,林業家 B,素材生産者,林業家,高知,,,3
3,0xB279FCA11E61D0BC0114766d986D51d16d19d43B,林業家 C,素材生産者,林業家,岩手,,,2
4,0xA1756a269B535aC17Fe68aF401D865Ef78313E60,林業家 D,素材生産者,林業家,群馬,,,2
5,0x8F0b466d77BF92cb3ef9897a31bc6d8Da82500C8,林業家 E,素材生産者,林業家,熊本,,,1
6,0x808B9581e9e45Db7A21010220c3D9104BA6dca0c,林業家 F,素材生産者,林業家,北海道,,,2
7,0x3d364DFe4D606dDDB9c8ebBCc8D9ded176b43397,林業家 G,素材生産者,林業家,鹿児島,,,2
8,0xBd05a692e4C3FE47d83dA54684F3C3F40eb38140,林業家 H,素材生産者,林業家,岐阜,,,2
9,0x2B5cA8c6bE3BA3Bd81e93A2c9dD0b31418eCf579,林業家 I,素材生産者,林業家,長野,,,2
10,0x41654eb0105FB506c9Fb837bDfC7568309F9AE4A,林業家 J,素材生産者,林業家,鳥取,,,2
11,0x4903Cdf0727Aa319D9824d850aE9AA72cb17989A,林業家 K,素材生産者,林業家,岡山,,,2
12,0xaB44F5AD3D5d04B4242C4e32C08b301f6DC2BA73,林業家 L,素材生産者,林業家,長野,,,2
13,0x117e9c83002230e21CAe20Cbb5D92d879b3549bF,林業家 M,素材生産者,林業家,和歌山,,,2
14,0x36eEAD5Ca76B152Ca6c360d8961a9feCd6f8fEfa,林業家 N,素材生産者,林業家,神奈川,,,2
15,0xb6Eb4ffE6Ac99b57C2265e6693679eBA5033345E,学生 A,製材所,学生,神奈川,,,79
16,0x4f7FC04641Af0256a43FA24E5492ABa4346DC7AB,学生 B,製材所,学生,神奈川,,,22
17,0x5E984ba4Deecb7B63c487f516895734432abb307,学生 C,製材所,学生,神奈川,,,132
18,0x517aA5B8Be0D031cF6D1f04002916C969B0059F3,学生 D,集成材工場,学生,神奈川,,,70
19,0x3A07e8186105d3a74A2A2b1136eC13C894a5CCc7,学生 E,集成材工場,学生,神奈川,,,84
20,0x87a36616BD555d4A7c6132DFa8Cf474655503304,学生 F,集成材工場,学生,神奈川,,,79
21,0x44A4753a2f9dAdeC74271890Ace8663434fAc3F5,デザイナー A,集成材デザイナー,プロジェクトメンバー,神奈川,,,1
22,0x27901De9EB53B79002F9C5AbA0Ce711134a60014,デザイナー B,集成材デザイナー,プロジェクトメンバー,神奈川,,,1
23,0x8Cad9562C5EECB80402d32E0Ac6718280Ee944F1,デザイナー C,集成材デザイナー,プロジェクトメンバー,神奈川,,,1
24,0xd3ec83c956D074EA2E850109E119B3318b397Eb9,デザイナー D,集成材デザイナー,プロジェクトメンバー,埼玉,,,1
25,0x5eA650BAb31481712227198A3331d4D2b70f53C0,購入者 A,ユーザー,ユーザー,東京,,,0
26,0x13bAC23FB8e239c877c49877dAD37fDf9a018D94,購入者 B,ユーザー,ユーザー,神奈川,,,0
27,0x72911B03CcFe839E2EAeaD6281D855f83f8AC0cE,購入者 C,ユーザー,ユーザー,広島,,,0
28,0xc0FDfFB0a4a451206582a9beC6d3f279f1a31c46,購入者 D,ユーザー,ユーザー,北海道,,,0
